OrderDate,OrderNo,ItemName,PendingQty,Rate,ValueAmount,DueOn,DueDays
2025-04-02,SO/2024-25/3428,GC 0.35 x 800 x 08,,531.36,71733.60,2025-04-07,351
2025-04-02,SO/2024-25/3428,GC 0.35 x 800 x 09,,597.46,41822.20,2025-04-07,351
2025-04-02,SO/2024-25/3428,GC 0.35 x 800 x 12,,796.61,47796.60,2025-04-07,351
2025-04-02,SO/2024-25/3429,GC 0.30 x 800 x 07,,400.85,400.85,2025-04-07,351
2025-04-02,SO/2024-25/3429,GC 0.35 x 1220 x 09,,904.24,36169.60,2025-04-07,351
2025-04-03,SO/2024-25/3432,GC 0.35 x 800 x 12,,796.61,23898.30,2025-04-08,350
2025-04-03,SO/2024-25/3432,GC  0.25 x 800 x 10,,498.31,7474.65,2025-04-08,350
2025-04-03,SO/2024-25/3434,GC 0.35 x 910 x 08,,619.49,16726.23,2025-04-08,350
2025-04-03,SO/2024-25/3435,DURASHINE (P R) 15 X 47 MM,,2445.76,97830.40,2025-04-08,350
2025-04-03,SO/2024-25/3436,DURASHINE (B) 18 X 47 MM,,2643.56,224702.60,2025-04-08,350
2025-04-04,SO/2024-25/3440,GC 0.30 x 800 x 14,,808.47,81655.47,2025-04-09,349
2025-04-04,SO/2024-25/3447,DURASHINE (P R) 16 X 47 MM,,2349.83,70494.90,2025-04-09,349
2025-04-05,SO/2025-26/11,Shovel - SQ 4 Light Wt (Steel Handle),,466.65,5599.80,2025-04-10,348
2025-04-05,SO/2025-26/11,Powrah - Nepal Agri 1.6,,248.24,9929.60,2025-04-10,348
2025-04-05,SO/2025-26/2,GC  0.25 x 800 x 12,,519.49,51949.00,2025-04-10,348
2025-04-05,SO/2025-26/7,GC 0.60 x 1220 x 10,,1637.29,57305.15,2025-04-10,348
2025-04-05,SO/2025-26/8,DURASHINE (B) 24 X 47 MM,,3524.75,81069.25,2025-04-10,348
2025-04-05,SO/2025-26/9,GC 0.35 x 910 x 14,,1052.54,15788.10,2025-04-10,348
2025-04-07,SO/2025-26/13,GC 0.45 x 840 x 08,,654.24,19627.20,2025-04-12,346
2025-04-07,SO/2025-26/13,GC 0.50 x 840 x 08,,725.42,3627.10,2025-04-12,346
2025-04-07,SO/2025-26/14,GC 0.35 x 800 x 12,,796.61,23898.30,2025-04-12,346
2025-04-07,SO/2025-26/16,GC 0.30 x 800 x 07,,400.85,1202.55,2025-04-12,346
2025-04-07,SO/2025-26/17,GC 0.30 x 800 x 10,,574.58,12066.18,2025-04-12,346
2025-04-07,SO/2025-26/18,GC 0.35 x 800 x 14,,935.59,4677.95,2025-04-12,346
2025-04-08,SO/2025-26/23,GC 0.30 x 800 x 08,,462.71,462.71,2025-04-13,345
2025-04-08,SO/2025-26/23,GC 0.35 x 800 x 12,,796.61,47796.60,2025-04-13,345
2025-04-08,SO/2025-26/24,GC 0.35 x 910 x 06,,453.39,65288.16,2025-04-13,345
2025-04-08,SO/2025-26/24,GC 0.35 x 800 x 07,,462.71,185084.00,2025-04-13,345
2025-04-08,SO/2025-26/24,GC 0.35 x 800 x 08,,531.36,143467.20,2025-04-13,345
2025-04-08,SO/2025-26/24,GC 0.35 x 1220 x 12,,1206.78,79647.48,2025-04-13,345
2025-04-08,SO/2025-26/24,GC 0.45 x 1220 x 10,,1242.37,52179.54,2025-04-13,345
2025-04-08,SO/2025-26/24,GC 0.45 x 1220 x 12,,1492.37,53725.32,2025-04-13,345
2025-04-08,SO/2025-26/24,GC 0.45 x 1220 x 14,,1736.44,52093.20,2025-04-13,345
2025-04-08,SO/2025-26/24,GC 0.30 x 800 x 07,,400.85,160340.00,2025-04-13,345
2025-04-08,SO/2025-26/24,GC 0.30 x 800 x 08,,462.71,124931.70,2025-04-13,345
2025-04-10,SO/2025-26/32,GC 0.30 x 1220 x 14,,1216.10,2432.20,2025-04-15,343
2025-04-10,SO/2025-26/33,DURASHINE PLAIN SHEET (B) 10 X 47 MM,,1619.49,16194.90,2025-04-15,343
2025-04-10,SO/2025-26/36,"AGRICO-CON-NAIL-2"" (50MM)",,2610.80,2610.80,2025-04-15,343
2025-04-10,SO/2025-26/37,"AGRICO-CON-NAIL-2"" (50MM)",,2610.80,2610.80,2025-04-15,343
2025-04-10,SO/2025-26/37,"L Socket Handle 8"" (200mm)-1/2"" Sq Driv",,126.47,1517.64,2025-04-15,343
2025-04-10,SO/2025-26/37,DWS-6 X 50 (17 TPI),,171.20,856.00,2025-04-15,343
2025-04-10,SO/2025-26/40,"AGRICO-CON-NAIL-2"" (50MM)",,2610.80,2610.80,2025-04-15,343
2025-04-10,SO/2025-26/42,GC 0.30 x 800 x 10,,574.58,12066.18,2025-04-15,343
2025-04-10,SO/2025-26/42,GC 0.45 x 1220 x 12,,1446.61,8679.66,2025-04-15,343
2025-04-10,SO/2025-26/42,GC 0.35 x 800 x 07,,444.91,13347.30,2025-04-15,343
2025-04-11,SO/2025-26/44,GC 0.30 x 910 x 10,,646.61,22631.35,2025-04-16,342
2025-04-11,SO/2025-26/44,GC 0.30 x 910 x 09,,584.75,23390.00,2025-04-16,342
2025-04-11,SO/2025-26/45,GC  0.25 x 800 x 09,,447.46,447.46,2025-04-16,342
2025-04-11,SO/2025-26/45,GC 0.35 x 1220 x 09,,878.81,35152.40,2025-04-16,342
2025-04-11,SO/2025-26/47,GC 0.35 x 1220 x 12,,1167.79,35033.70,2025-04-16,342
2025-04-11,SO/2025-26/48,DURASHINE LONG LINE CRIMP (P R) 1200 X 47 MM,,712.44,2137.32,2025-04-16,342
2025-04-12,SO/2025-26/51,GC  0.25 x 800 x 10,,486.44,486.44,2025-04-17,341
2025-04-12,SO/2025-26/54,GC 0.35 x 1220 x 14,,1359.32,20389.80,2025-04-17,341
2025-04-12,SO/2025-26/54,GC 0.60 x 840 x 10,,1059.32,22245.72,2025-04-17,341
2025-04-14,SO/2025-26/55,GC  0.25 x 800 x 08,,398.31,398.31,2025-04-19,339
2025-04-14,SO/2025-26/57,GC 0.45 x 1220 x 14,,1688.13,3376.26,2025-04-19,339
2025-04-16,SO/2025-26/64,GC 0.35 x 800 x 12,,781.35,103138.20,2025-04-21,337
2025-04-16,SO/2025-26/64,GC 0.35 x 1220 x 12,,1167.79,75906.35,2025-04-21,337
2025-04-16,SO/2025-26/65,GC 0.35 x 800 x 07,,444.91,444.91,2025-04-21,337
2025-04-16,SO/2025-26/66,GC 0.50 x 910 x 12,,1280.51,23049.18,2025-04-21,337
2025-04-16,SO/2025-26/67,GC 0.45 x 1220 x 14,,1688.13,84406.50,2025-04-21,337
2025-04-16,SO/2025-26/67,GC 0.35 x 1220 x 12,,1167.79,49047.18,2025-04-21,337
2025-04-16,SO/2025-26/67,GC 0.45 x 840 x 12,,981.36,58881.60,2025-04-21,337
2025-04-16,SO/2025-26/68,GC 0.35 x 1220 x 12,,1167.79,21020.22,2025-04-21,337
2025-04-16,SO/2025-26/70,GC 0.35 x 1220 x 12,,1167.79,56053.92,2025-04-21,337
2025-04-16,SO/2025-26/70,GC 0.35 x 1220 x 14,,1359.32,135932.00,2025-04-21,337
2025-04-16,SO/2025-26/70,GC 0.45 x 1220 x 14,,1688.13,50643.90,2025-04-21,337
2025-04-16,SO/2025-26/74,GC 0.50 x 1220 x 10,,1383.90,48436.50,2025-04-21,337
2025-04-16,SO/2025-26/74,GC 0.35 x 1220 x 14,,1359.32,13593.20,2025-04-21,337
2025-04-16,SO/2025-26/74,GC 0.45 x 1220 x 12,,1446.61,86796.60,2025-04-21,337
2025-04-16,SO/2025-26/74,GC 0.35 x 800 x 07,,444.91,22245.50,2025-04-21,337
2025-04-16,SO/2025-26/74,GC 0.45 x 840 x 10,,817.80,40072.20,2025-04-21,337
2025-04-17,SO/2025-26/80,GC 0.30 x 800 x 10,,574.58,574.58,2025-04-22,336
2025-04-17,SO/2025-26/86,DOESpanner10X11,,23.28,465.60,2025-04-22,336
2025-04-17,SO/2025-26/86,"Crome Finished_Adjustable Wrench_18""",,1634.07,1634.07,2025-04-22,336
2025-04-17,SO/2025-26/89,DOESpanner10X11,,23.28,465.60,2025-04-22,336
2025-04-18,SO/2025-26/100,GC 0.45 x 840 x 08,,654.24,24861.12,2025-04-23,335
2025-04-18,SO/2025-26/103,"AGRICO-CON-NAIL-2"" (50MM)",,2610.80,26108.00,2025-04-23,335
2025-04-18,SO/2025-26/105,GC 0.30 x 1220 x 14,,1216.10,36483.00,2025-04-23,335
2025-04-18,SO/2025-26/105,GC 0.35 x 800 x 14,,903.38,22584.50,2025-04-23,335
2025-04-18,SO/2025-26/106,GC 0.35 x 800 x 14,,903.38,22584.50,2025-04-23,335
2025-04-18,SO/2025-26/93,DURASHINE LINER (A.W) 08 X 37 MM,,1053.56,1053.56,2025-04-23,335
2025-04-18,SO/2025-26/94,DURASHINE (B) 22 X 47 MM,,3231.02,6462.04,2025-04-23,335
2025-04-18,SO/2025-26/96,GC  0.25 x 800 x 07,,344.92,17246.00,2025-04-23,335
2025-04-18,SO/2025-26/96,GC 0.40 x 800 x 07,,502.54,25127.00,2025-04-23,335
2025-04-18,SO/2025-26/96,GC 0.40 x 800 x 12,,859.32,859.32,2025-04-23,335
2025-04-19,SO/2025-26/107,SDS-SC-12-14X75MM,,,,2025-04-24,334
2025-04-19,SO/2025-26/108,GC  0.25 x 800 x 08,,398.31,19915.50,2025-04-24,334
2025-04-19,SO/2025-26/108,GC 0.30 x 800 x 07,,392.37,4708.44,2025-04-24,334
2025-04-19,SO/2025-26/108,GC 0.30 x 800 x 09,,516.95,516.95,2025-04-24,334
2025-04-19,SO/2025-26/108,GC 0.45 x 1220 x 12,,1446.61,34718.64,2025-04-24,334
2025-04-19,SO/2025-26/111,"AGRICO-NAIL 2.5""",,1101.60,1101.60,2025-04-24,334
2025-04-19,SO/2025-26/111,Hammer Dfs 10,,788.41,9460.92,2025-04-24,334
2025-04-19,SO/2025-26/112,GC  0.25 x 800 x 08,,398.31,35847.90,2025-04-24,334
2025-04-19,SO/2025-26/112,GC 0.35 x 800 x 12,,781.35,18752.40,2025-04-24,334
2025-04-19,SO/2025-26/113,DURASHINE LINER(P.R) 12 X 37 MM,,1580.34,15803.40,2025-04-24,334
2025-04-19,SO/2025-26/114,GC 0.35 x 800 x 08,,514.40,23662.40,2025-04-24,334
2025-04-19,SO/2025-26/114,GC 0.35 x 800 x 12,,781.35,38286.15,2025-04-24,334
2025-04-19,SO/2025-26/115,GC 0.35 x 800 x 14,,903.38,2710.14,2025-04-24,334
2025-04-19,SO/2025-26/119,TCT BLADE - 4 INCH -30 TEETH,,,,2025-04-24,334
2025-04-19,SO/2025-26/121,SDS-SC-12-14X75MM,,,,2025-04-24,334
2025-04-19,SO/2025-26/121,DOESpanner14X15,,32.09,2567.20,2025-04-24,334
2025-04-19,SO/2025-26/121,DOESpanner10X11,,23.28,5820.00,2025-04-24,334
2025-04-19,SO/2025-26/121,DOEMattFinSpannerWWSize516X716m,,36.57,3657.00,2025-04-24,334
2025-04-19,SO/2025-26/121,RingSpanner12X13,,54.74,4379.20,2025-04-24,334
2025-04-19,SO/2025-26/121,RingSpanner14X15,,67.33,2693.20,2025-04-24,334
2025-04-19,SO/2025-26/121,RingSpanner18X19,,100.05,9004.50,2025-04-24,334
2025-04-20,SO/2025-26/122,"AGRICO-CON-NAIL-2"" (50MM)",,2610.80,2610.80,2025-04-25,333
2025-04-20,SO/2025-26/124,"AGRICO-NAIL 2.5""",,1101.60,1101.60,2025-04-25,333
2025-04-20,SO/2025-26/125,BallPoint200,,137.80,4960.80,2025-04-25,333
2025-04-20,SO/2025-26/125,DOEMattFinSpannerWWSize516X716m,,36.57,1828.50,2025-04-25,333
2025-04-20,SO/2025-26/125,ShovelSQ6,,495.42,5945.04,2025-04-25,333
2025-04-20,SO/2025-26/126,DOESpanner10X11,,23.28,465.60,2025-04-25,333
2025-04-21,SO/2025-26/128,GC 0.30 x 800 x 08,,462.71,462.71,2025-04-26,332
2025-04-21,SO/2025-26/128,GC 0.35 x 800 x 10,,643.22,643.22,2025-04-26,332
2025-04-21,SO/2025-26/129,GC 0.35 x 1220 x 10,,971.18,58270.80,2025-04-26,332
2025-04-21,SO/2025-26/129,GC 0.35 x 1220 x 08,,788.13,7093.17,2025-04-26,332
2025-04-21,SO/2025-26/130,"Powrah - Steel Hoe Handle (35"")",,115.00,115.00,2025-04-26,332
2025-04-21,SO/2025-26/130,DMD SAW BLADE - 4 INCH -SEG,,,,2025-04-26,332
2025-04-21,SO/2025-26/130,ScrewDriverTwoinOne60X250,,69.84,1396.80,2025-04-26,332
2025-04-21,SO/2025-26/131,GC 0.35 x 1220 x 08,,788.13,4728.78,2025-04-26,332
2025-04-21,SO/2025-26/131,GC 0.35 x 800 x 12,,781.35,18752.40,2025-04-26,332
2025-04-21,SO/2025-26/131,GC 0.50 x 840 x 06,,537.29,1611.87,2025-04-26,332
2025-04-21,SO/2025-26/134,"Tin Cutter 12"" With Spring",,369.98,1479.92,2025-04-26,332
2025-04-21,SO/2025-26/135,SDS-SC-12-14X55MM,,,,2025-04-26,332
2025-04-21,SO/2025-26/136,GC 0.35 x 800 x 09,,577.11,15581.97,2025-04-26,332
2025-04-21,SO/2025-26/137,GC  0.25 x 800 x 09,,447.46,53695.20,2025-04-26,332
2025-04-21,SO/2025-26/137,GC  0.25 x 800 x 10,,486.44,51076.20,2025-04-26,332
2025-04-21,SO/2025-26/137,GC  0.25 x 800 x 12,,580.50,34830.00,2025-04-26,332
2025-04-21,SO/2025-26/137,GC 0.30 x 800 x 08,,462.71,83287.80,2025-04-26,332
2025-04-21,SO/2025-26/137,GC 0.30 x 800 x 09,,516.95,62034.00,2025-04-26,332
2025-04-21,SO/2025-26/137,GC 0.30 x 800 x 10,,574.58,120661.80,2025-04-26,332
2025-04-21,SO/2025-26/137,GC 0.35 x 1220 x 10,,971.18,33991.30,2025-04-26,332
2025-04-21,SO/2025-26/137,GC 0.35 x 1220 x 12,,1167.79,35033.70,2025-04-26,332
2025-04-21,SO/2025-26/137,GC 0.35 x 1220 x 14,,1359.32,67966.00,2025-04-26,332
2025-04-21,SO/2025-26/137,GC 0.35 x 1220 x 16,,1553.38,77669.00,2025-04-26,332
2025-04-21,SO/2025-26/138,GT Garden Rack,,244.00,4880.00,2025-04-26,332
